id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,bst_efficiency,speed_tier
384,rayquaza,dragon,flying,air-lock,,,105,150,90,150,90,95,206.5,7.0,680,9450,9450,0.9999999333333378,395,285,1.0,2
385,jirachi,steel,psychic,serene-grace,,,100,100,100,100,100,100,1.1,0.3,600,10000,10000,0.9999999000000099,300,300,1.0,3
386,deoxys-normal,psychic,,pressure,,,50,150,50,150,50,150,60.8,1.7,600,2500,2500,0.9999999333333378,450,150,1.0,4
387,turtwig,grass,,overgrow,shell-armor,,55,68,64,45,55,31,10.2,0.4,318,3520,3025,1.5111107753087165,144,174,1.0,0
388,grotle,grass,,overgrow,shell-armor,,75,89,85,55,65,36,97.0,1.1,405,6375,4875,1.6181815239669954,180,225,1.0,0
389,torterra,grass,ground,overgrow,shell-armor,,95,109,105,75,85,56,310.0,2.2,525,9975,8075,1.4533331395555813,240,285,1.0,1
390,chimchar,fire,,blaze,iron-fist,,44,58,44,58,44,61,6.2,0.5,309,1936,1936,0.9999998275862366,177,132,1.0,1
391,monferno,fire,fighting,blaze,iron-fist,,64,78,52,78,52,81,22.0,0.9,405,3328,3328,0.9999998717948881,237,168,1.0,2
392,infernape,fire,fighting,blaze,iron-fist,,76,104,71,104,71,108,55.0,1.2,534,5396,5396,0.9999999038461631,316,218,1.0,3
393,piplup,water,,torrent,competitive,,53,51,53,61,56,40,5.2,0.4,314,2809,2968,0.8360654367105841,152,162,1.0,0
394,prinplup,water,,torrent,competitive,,64,66,68,81,76,50,23.0,0.8,405,4352,4864,0.8148147142204056,197,208,1.0,1
395,empoleon,water,steel,torrent,competitive,,84,86,88,111,101,60,84.5,1.7,530,7392,8484,0.7747747049752518,257,273,1.0,1
396,starly,normal,flying,keen-eye,reckless,,40,55,30,30,30,60,2.0,0.3,245,1200,1200,1.833332722222426,145,100,1.0,1
397,staravia,normal,flying,intimidate,reckless,,55,75,50,40,40,80,15.5,0.6,340,2750,2200,1.874999531250117,195,145,1.0,2
398,staraptor,normal,flying,intimidate,reckless,,85,120,70,50,60,100,24.9,1.2,485,5950,5100,2.3999995200000956,270,215,1.0,3
399,bidoof,normal,,simple,unaware,moody,59,45,40,35,40,31,20.0,0.5,250,2360,2360,1.2857139183674517,111,139,1.0,0
400,bibarel,normal,water,simple,unaware,moody,79,85,60,55,60,71,31.5,1.0,410,4740,4740,1.5454542644628608,211,199,1.0,1
401,kricketot,bug,,shed-skin,run-away,,37,25,41,25,41,25,2.2,0.3,194,1517,1517,0.99999960000016,75,119,1.0,0
402,kricketune,bug,,swarm,technician,,77,85,51,55,51,65,25.5,1.0,384,3927,3927,1.5454542644628608,205,179,1.0,1
403,shinx,electric,,rivalry,intimidate,guts,45,65,34,40,34,45,9.5,0.5,263,1530,1530,1.6249995937501014,150,113,1.0,0
404,luxio,electric,,rivalry,intimidate,guts,60,85,49,60,49,60,30.5,0.9,363,2940,2940,1.416666430555595,205,158,1.0,1
405,luxray,electric,,rivalry,intimidate,guts,80,120,79,95,79,70,42.0,1.4,523,6320,6320,1.263157761772867,285,238,1.0,1
406,budew,grass,poison,natural-cure,poison-point,leaf-guard,40,30,35,50,70,55,1.2,0.2,280,1400,2800,0.5999998800000239,135,145,1.0,1
407,roserade,grass,poison,natural-cure,poison-point,technician,60,70,65,125,105,90,14.5,0.9,515,3900,6300,0.5599999552000036,285,230,1.0,2
408,cranidos,rock,,mold-breaker,sheer-force,,67,125,40,30,30,58,31.5,0.9,350,2680,2010,4.1666652777782405,213,137,1.0,1
409,rampardos,rock,,mold-breaker,sheer-force,,97,165,60,65,50,58,102.5,1.6,495,5820,4850,2.538461147929054,288,207,1.0,1
410,shieldon,rock,steel,sturdy,soundproof,,30,42,118,42,88,30,57.0,0.5,350,3540,2640,0.9999997619048185,114,236,1.0,0
411,bastiodon,rock,steel,sturdy,soundproof,,60,52,168,47,138,30,149.5,1.3,495,10080,8280,1.1063827433228206,129,366,1.0,0
412,burmy,bug,,shed-skin,overcoat,,40,29,45,29,45,36,3.4,0.2,224,1800,1800,0.9999996551725328,94,130,1.0,0
413,wormadam-plant,bug,grass,anticipation,overcoat,,60,59,85,79,105,36,6.5,0.5,424,5100,6300,0.7468353485018546,174,250,1.0,0
414,mothim,bug,flying,swarm,tinted-lens,,70,94,50,94,50,66,23.3,0.9,424,3500,3500,0.9999998936170326,254,170,1.0,1
415,combee,bug,flying,honey-gather,hustle,,30,30,42,30,42,70,5.5,0.3,244,1260,1260,0.9999996666667778,130,114,1.0,1
416,vespiquen,bug,flying,pressure,unnerve,,70,80,102,80,102,40,38.5,1.2,474,7140,7140,0.9999998750000156,200,274,1.0,0
417,pachirisu,electric,,run-away,pickup,volt-absorb,60,45,70,45,90,95,3.9,0.4,405,4200,5400,0.9999997777778271,185,220,1.0,2
418,buizel,water,,swift-swim,water-veil,,55,65,35,60,30,85,29.5,0.7,330,1925,1650,1.0833331527778078,210,120,1.0,2
419,floatzel,water,,swift-swim,water-veil,,85,105,55,85,50,115,33.5,1.1,495,4675,4250,1.2352939723183562,305,190,1.0,3
420,cherubi,grass,,chlorophyll,,,45,35,45,62,53,35,3.3,0.4,275,2025,2385,0.5645160379812841,132,143,1.0,0
421,cherrim,grass,,flower-gift,,,70,60,70,87,78,85,9.3,0.5,450,4900,5460,0.6896550931430927,232,218,1.0,2
422,shellos,water,,sticky-hold,storm-drain,sand-force,76,48,48,57,62,34,6.3,0.3,325,3648,4712,0.8421051154201551,139,186,1.0,0
423,gastrodon,water,ground,sticky-hold,storm-drain,sand-force,111,83,68,92,82,39,29.9,0.9,475,7548,9102,0.902173814981107,214,261,1.0,0
424,ambipom,normal,,technician,pickup,skill-link,75,100,66,60,66,115,20.3,1.2,482,4950,4950,1.666666388888935,275,207,1.0,3
425,drifloon,ghost,flying,aftermath,unburden,flare-boost,90,50,34,60,44,70,1.2,0.4,348,3060,3960,0.8333331944444675,180,168,1.0,1
426,drifblim,ghost,flying,aftermath,unburden,flare-boost,150,80,44,90,54,80,15.0,1.2,498,6600,8100,0.8888887901234678,250,248,1.0,2
427,buneary,normal,,run-away,klutz,limber,55,66,44,44,56,85,5.5,0.4,350,2420,3080,1.4999996590909865,195,155,1.0,2
428,lopunny,normal,,cute-charm,klutz,limber,65,76,84,54,96,105,33.3,1.2,480,5460,6240,1.4074071467764542,235,245,1.0,3
429,mismagius,ghost,,levitate,,,60,60,60,105,105,105,4.4,0.9,495,3600,6300,0.5714285170068079,270,225,1.0,3
430,honchkrow,dark,flying,insomnia,super-luck,moxie,100,125,52,105,52,71,27.3,0.9,505,5200,5200,1.1904760770975165,301,204,1.0,1
431,glameow,normal,,limber,own-tempo,keen-eye,49,55,42,42,37,85,3.9,0.5,310,2058,1813,1.3095234977325005,182,128,1.0,2
432,purugly,normal,,thick-fat,own-tempo,defiant,71,82,64,64,59,112,43.8,1.0,452,4544,4189,1.2812497998047188,258,194,1.0,3
433,chingling,psychic,,levitate,,,45,30,50,65,50,45,0.6,0.2,285,2250,2250,0.4615383905325553,140,145,1.0,0
434,stunky,poison,dark,stench,aftermath,keen-eye,63,63,47,41,41,74,19.2,0.4,329,2961,2583,1.5365849910768312,178,151,1.0,1
435,skuntank,poison,dark,stench,aftermath,keen-eye,103,93,67,71,61,84,38.0,1.0,479,6901,6283,1.3098589704423984,248,231,1.0,2
436,bronzor,steel,psychic,levitate,heatproof,heavy-metal,57,24,86,24,86,23,60.5,0.5,300,4902,4902,0.9999995833335069,71,229,1.0,0
437,bronzong,steel,psychic,levitate,heatproof,heavy-metal,67,89,116,79,116,33,187.0,1.3,500,7772,7772,1.126582135875679,201,299,1.0,0
438,bonsly,rock,,sturdy,rock-head,rattled,50,80,95,10,45,10,15.0,0.5,290,4750,2250,7.9999920000080005,100,190,1.0,0
439,mime-jr,psychic,fairy,soundproof,filter,technician,20,25,45,70,90,60,13.0,0.6,310,900,1800,0.35714280612245625,155,155,1.0,1
440,happiny,normal,,natural-cure,serene-grace,friend-guard,100,5,5,15,65,30,24.4,0.6,220,500,6500,0.3333331111112593,50,170,1.0,0
441,chatot,normal,flying,keen-eye,tangled-feet,big-pecks,76,65,45,92,42,91,1.9,0.5,411,3420,3192,0.7065216623346019,248,163,1.0,2
442,spiritomb,ghost,dark,pressure,infiltrator,,50,92,108,92,108,35,108.0,1.0,485,5400,5400,0.9999998913043596,219,266,1.0,0
443,gible,dragon,ground,sand-veil,rough-skin,,58,70,45,40,45,42,20.5,0.7,300,2610,2610,1.7499995625001092,152,148,1.0,0
444,gabite,dragon,ground,sand-veil,rough-skin,,68,90,65,50,55,82,56.0,1.4,410,4420,3740,1.799999640000072,222,188,1.0,2
445,garchomp,dragon,ground,sand-veil,rough-skin,,108,130,95,80,85,102,95.0,1.9,600,10260,9180,1.6249997968750254,312,288,1.0,3
446,munchlax,normal,,pickup,thick-fat,gluttony,135,85,40,40,85,5,105.0,0.6,390,5400,11475,2.124999468750133,130,260,1.0,0
447,riolu,fighting,,steadfast,inner-focus,prankster,40,70,40,35,40,60,20.2,0.7,285,1600,1600,1.9999994285715916,165,120,1.0,1
448,lucario,fighting,steel,steadfast,inner-focus,justified,70,110,70,115,70,90,54.0,1.2,525,4900,4900,0.9565216559546386,315,210,1.0,2
449,hippopotas,ground,,sand-stream,sand-force,,68,72,78,38,42,32,49.5,0.8,330,5304,2856,1.8947363434904358,142,188,1.0,0
450,hippowdon,ground,,sand-stream,sand-force,,108,112,118,68,72,47,300.0,2.0,525,12744,7776,1.6470585813149143,227,298,1.0,0
451,skorupi,poison,bug,battle-armor,sniper,keen-eye,40,50,90,30,55,65,12.0,0.8,330,3600,2200,1.6666661111112964,145,185,1.0,1
452,drapion,poison,dark,battle-armor,sniper,keen-eye,70,90,110,60,75,95,61.5,1.3,500,7700,5250,1.4999997500000415,245,255,1.0,2
453,croagunk,poison,fighting,anticipation,dry-skin,poison-touch,48,61,40,61,40,50,23.0,0.7,300,1920,1920,0.9999998360656006,172,128,1.0,1
454,toxicroak,poison,fighting,anticipation,dry-skin,poison-touch,83,106,65,86,65,85,44.4,1.3,490,5395,5395,1.2325579962141864,277,213,1.0,2
455,carnivine,grass,,levitate,,,74,100,72,90,72,46,27.0,1.4,454,5328,5328,1.1111109876543346,236,218,1.0,0
456,finneon,water,,swift-swim,storm-drain,water-veil,49,49,56,49,61,66,7.0,0.4,330,2744,2989,0.9999997959184089,164,166,1.0,1
457,lumineon,water,,swift-swim,storm-drain,water-veil,69,69,76,69,86,91,24.0,1.2,460,5244,5934,0.9999998550724847,229,231,1.0,2
458,mantyke,water,flying,swift-swim,water-absorb,water-veil,45,20,50,60,120,50,65.0,1.0,345,2250,5400,0.33333327777778704,130,215,1.0,1
459,snover,grass,ice,snow-warning,soundproof,,60,62,50,62,60,40,50.5,1.0,334,3000,3600,0.9999998387097034,164,170,1.0,0
460,abomasnow,grass,ice,snow-warning,soundproof,,90,92,75,92,85,60,135.5,2.2,494,6750,7650,0.9999998913043596,244,250,1.0,1
461,weavile,dark,ice,pressure,pickpocket,,70,120,65,45,85,125,34.0,1.1,510,4550,5950,2.6666660740742056,290,220,1.0,4
462,magnezone,electric,steel,magnet-pull,sturdy,analytic,70,70,115,130,90,60,180.0,1.2,535,8050,6300,0.5384614970414233,260,275,1.0,1
463,lickilicky,normal,,own-tempo,oblivious,cloud-nine,110,85,95,80,95,50,140.0,1.7,515,10450,10450,1.0624998671875165,215,300,1.0,1
464,rhyperior,ground,rock,lightning-rod,solid-rock,reckless,115,140,130,55,55,40,282.8,2.4,535,14950,6325,2.5454540826447123,235,300,1.0,0
465,tangrowth,grass,,chlorophyll,leaf-guard,regenerator,100,100,125,110,50,50,128.6,2.0,535,12500,5000,0.9090908264462885,260,275,1.0,1
466,electivire,electric,,motor-drive,vital-spirit,,75,123,67,95,85,95,138.6,1.8,540,5025,6375,1.2947367058171888,313,227,1.0,2
467,magmortar,fire,,flame-body,vital-spirit,,75,95,67,125,95,83,68.0,1.6,540,5025,7125,0.7599999392000049,303,237,1.0,2
468,togekiss,fairy,flying,hustle,serene-grace,super-luck,85,50,95,120,115,80,38.0,1.5,545,8075,9775,0.4166666319444473,250,295,1.0,2
469,yanmega,bug,flying,speed-boost,tinted-lens,frisk,86,76,86,116,56,95,51.5,1.9,515,7396,4816,0.6551723573127278,287,228,1.0,2
470,leafeon,grass,,leaf-guard,chlorophyll,,65,110,130,60,65,95,25.5,1.0,525,8450,4225,1.8333330277778286,265,260,1.0,2
471,glaceon,ice,,snow-cloak,ice-body,,65,60,110,130,95,65,25.9,0.8,525,7150,6175,0.46153842603550566,255,270,1.0,1
472,gliscor,ground,flying,hyper-cutter,sand-veil,poison-heal,75,95,125,45,75,95,42.5,2.0,510,9375,5625,2.111110641975413,235,275,1.0,2
473,mamoswine,ice,ground,oblivious,snow-cloak,thick-fat,110,130,80,70,60,80,291.0,2.5,530,8800,6600,1.8571425918367725,280,250,1.0,2
474,porygon-z,normal,,adaptability,download,analytic,85,80,70,135,75,90,34.0,0.9,535,5950,6375,0.5925925486968482,305,230,1.0,2
475,gallade,psychic,fighting,steadfast,sharpness,justified,68,125,65,65,115,80,52.0,1.6,518,4420,7820,1.9230766272189803,270,248,1.0,2
476,probopass,rock,steel,sturdy,magnet-pull,sand-force,60,55,145,75,150,40,340.0,1.4,525,8700,9000,0.7333332355555685,170,355,1.0,0
477,dusknoir,ghost,,pressure,frisk,,45,100,135,65,135,45,106.6,2.2,525,6075,6075,1.5384613017751843,210,315,1.0,0
478,froslass,ice,ghost,snow-cloak,cursed-body,,70,80,70,80,70,110,26.6,1.3,480,4900,4900,0.9999998750000156,270,210,1.0,3
479,rotom,electric,ghost,levitate,,,50,50,77,95,77,91,0.3,0.3,440,3850,3850,0.526315734072028,236,204,1.0,2
480,uxie,psychic,,levitate,,,75,75,130,75,130,95,0.3,0.3,580,9750,9750,0.9999998666666844,245,335,1.0,2
481,mesprit,psychic,,levitate,,,80,105,105,105,105,80,0.3,0.3,580,8400,8400,0.9999999047619138,290,290,1.0,2
482,azelf,psychic,,levitate,,,75,125,70,125,70,115,0.3,0.3,580,5250,5250,0.9999999200000064,365,215,1.0,3
483,dialga,steel,dragon,pressure,telepathy,,100,120,120,150,100,90,683.0,5.4,680,12000,10000,0.7999999466666702,360,320,1.0,2
484,palkia,water,dragon,pressure,telepathy,,90,120,100,150,120,100,336.0,4.2,680,9000,10800,0.7999999466666702,370,310,1.0,3
485,heatran,fire,steel,flash-fire,flame-body,,91,90,106,130,106,77,430.0,1.7,600,9646,9646,0.6923076390532585,297,303,1.0,1
486,regigigas,normal,,slow-start,,,110,160,110,80,110,100,420.0,3.7,670,12100,12100,1.9999997500000313,340,330,1.0,3
487,giratina-altered,ghost,dragon,pressure,telepathy,,150,100,120,100,120,90,750.0,4.5,680,18000,18000,0.9999999000000099,290,390,1.0,2
488,cresselia,psychic,,levitate,,,120,70,110,75,120,85,85.6,1.5,580,13200,14400,0.9333332088889055,230,350,1.0,2
489,phione,water,,hydration,,,80,80,80,80,80,80,3.1,0.4,480,6400,6400,0.9999998750000156,240,240,1.0,2
490,manaphy,water,,hydration,,,100,100,100,100,100,100,1.4,0.3,600,10000,10000,0.9999999000000099,300,300,1.0,3
491,darkrai,dark,,bad-dreams,,,70,90,90,135,90,125,50.5,1.5,600,6300,6300,0.6666666172839543,350,250,1.0,4
492,shaymin-land,grass,,natural-cure,,,100,100,100,100,100,100,2.1,0.2,600,10000,10000,0.9999999000000099,300,300,1.0,3
493,arceus,normal,,multitype,,,120,120,120,120,120,120,320.0,3.2,720,14400,14400,0.9999999166666735,360,360,1.0,4
494,victini,psychic,fire,victory-star,,,100,100,100,100,100,100,4.0,0.4,600,10000,10000,0.9999999000000099,300,300,1.0,3
495,snivy,grass,,overgrow,contrary,,45,45,55,45,55,63,8.1,0.6,308,2475,2475,0.9999997777778271,153,155,1.0,1
496,servine,grass,,overgrow,contrary,,60,60,75,60,75,83,16.0,0.8,413,4500,4500,0.9999998333333611,203,210,1.0,2
497,serperior,grass,,overgrow,contrary,,75,75,95,75,95,113,63.0,3.3,528,7125,7125,0.9999998666666844,263,265,1.0,3
498,tepig,fire,,blaze,thick-fat,,65,63,45,45,45,45,9.9,0.5,308,2925,2925,1.3999996888889579,153,155,1.0,0
499,pignite,fire,fighting,blaze,thick-fat,,90,93,55,70,55,55,55.5,1.0,418,4950,4950,1.3285712387755373,218,200,1.0,1
500,emboar,fire,fighting,blaze,reckless,,110,123,65,100,65,65,150.0,1.6,528,7150,7150,1.2299998770000122,288,240,1.0,1
501,oshawott,water,,torrent,shell-armor,,55,55,45,63,45,45,5.9,0.5,308,2475,2475,0.8730157344419469,163,145,1.0,0
502,dewott,water,,torrent,shell-armor,,75,75,60,83,60,60,24.5,0.8,413,4500,4500,0.9036143489621266,218,195,1.0,1
503,samurott,water,,torrent,shell-armor,,95,100,85,108,70,70,94.6,1.5,528,8075,6650,0.9259258401920518,278,250,1.0,1
504,patrat,normal,,run-away,keen-eye,analytic,45,55,39,35,39,42,11.6,0.5,255,1755,1755,1.5714281224491078,132,123,1.0,0
505,watchog,normal,,illuminate,keen-eye,analytic,60,85,69,60,69,77,27.0,1.1,420,4140,4140,1.416666430555595,222,198,1.0,1
506,lillipup,normal,,vital-spirit,pickup,run-away,45,60,45,25,45,55,4.1,0.4,275,2025,2025,2.399999040000384,140,135,1.0,1
507,herdier,normal,,intimidate,sand-rush,scrappy,65,80,65,35,65,60,14.7,0.9,370,4225,4225,2.2857136326532475,175,195,1.0,1
508,stoutland,normal,,intimidate,sand-rush,scrappy,85,110,90,45,90,80,61.0,1.2,500,7650,7650,2.4444439012346884,235,265,1.0,2
509,purrloin,dark,,limber,unburden,prankster,41,50,37,50,37,66,10.1,0.4,281,1517,1517,0.99999980000004,166,115,1.0,1
510,liepard,dark,,limber,unburden,prankster,64,88,50,88,50,106,37.5,1.1,446,3200,3200,0.9999998863636492,282,164,1.0,3
511,pansage,grass,,gluttony,overgrow,,50,53,48,53,48,64,10.5,0.6,316,2400,2400,0.9999998113207903,170,146,1.0,1
512,simisage,grass,,gluttony,overgrow,,75,98,63,98,63,101,30.5,1.1,498,4725,4725,0.9999998979591941,297,201,1.0,3
513,pansear,fire,,gluttony,blaze,,50,53,48,53,48,64,11.0,0.6,316,2400,2400,0.9999998113207903,170,146,1.0,1
514,simisear,fire,,gluttony,blaze,,75,98,63,98,63,101,28.0,1.0,498,4725,4725,0.9999998979591941,297,201,1.0,3
515,panpour,water,,gluttony,torrent,,50,53,48,53,48,64,13.5,0.6,316,2400,2400,0.9999998113207903,170,146,1.0,1
516,simipour,water,,gluttony,torrent,,75,98,63,98,63,101,29.0,1.0,498,4725,4725,0.9999998979591941,297,201,1.0,3
517,munna,psychic,,forewarn,synchronize,telepathy,76,25,45,67,55,24,23.3,0.6,292,3420,4180,0.37313427266652643,116,176,1.0,0
518,musharna,psychic,,forewarn,synchronize,telepathy,116,55,85,107,95,29,60.5,1.1,487,9860,11020,0.5140186435496594,191,296,1.0,0
519,pidove,normal,flying,big-pecks,super-luck,rivalry,50,55,50,36,30,43,2.1,0.3,264,2500,1500,1.5277773533951795,134,130,1.0,0
520,tranquill,normal,flying,big-pecks,super-luck,rivalry,62,77,62,50,42,65,15.0,0.6,358,3844,2604,1.5399996920000616,192,166,1.0,1
521,unfezant,normal,flying,big-pecks,super-luck,rivalry,80,115,80,65,55,93,29.0,1.2,488,6400,4400,1.7692304970414618,273,215,1.0,2
522,blitzle,electric,,lightning-rod,motor-drive,sap-sipper,45,60,32,50,32,76,29.8,0.8,295,1440,1440,1.1999997600000478,186,109,1.0,1
523,zebstrika,electric,,lightning-rod,motor-drive,sap-sipper,75,100,63,80,63,116,79.5,1.6,497,4725,4725,1.2499998437500195,296,201,1.0,3
524,roggenrola,rock,,sturdy,weak-armor,sand-force,55,75,85,25,25,15,18.0,0.4,280,4675,1375,2.9999988000004802,115,165,1.0,0
525,boldore,rock,,sturdy,weak-armor,sand-force,70,105,105,50,40,20,102.0,0.9,390,7350,2800,2.099999580000084,175,215,1.0,0
526,gigalith,rock,,sturdy,sand-stream,sand-force,85,135,130,60,80,25,260.0,1.7,515,11050,6800,2.2499996250000622,220,295,1.0,0
527,woobat,psychic,flying,unaware,klutz,simple,65,45,43,55,43,72,2.1,0.4,323,2795,2795,0.8181816694215146,172,151,1.0,1
528,swoobat,psychic,flying,unaware,klutz,simple,67,57,55,77,55,114,10.5,0.9,425,3685,3685,0.7402596441221241,248,177,1.0,3
529,drilbur,ground,,sand-rush,sand-force,mold-breaker,60,85,40,30,45,68,8.5,0.3,328,2400,2700,2.833332388889204,183,145,1.0,1
530,excadrill,ground,steel,sand-rush,sand-force,mold-breaker,110,135,60,50,65,88,40.4,0.7,508,6600,7150,2.699999460000108,273,235,1.0,2
531,audino,normal,,healer,regenerator,klutz,103,60,86,60,86,50,31.0,1.1,445,8858,8858,0.9999998333333611,170,275,1.0,1
532,timburr,fighting,,guts,sheer-force,iron-fist,75,80,55,25,35,35,12.5,0.6,305,4125,2625,3.199998720000512,140,165,1.0,0
533,gurdurr,fighting,,guts,sheer-force,iron-fist,85,105,85,40,50,40,40.0,1.2,405,7225,4250,2.6249993437501637,185,220,1.0,0
534,conkeldurr,fighting,,guts,sheer-force,iron-fist,105,140,95,55,65,45,87.0,1.4,505,9975,6825,2.5454540826447123,240,265,1.0,0
535,tympole,water,,swift-swim,hydration,water-absorb,50,50,40,50,40,64,4.5,0.5,294,2000,2000,0.99999980000004,164,130,1.0,1
536,palpitoad,water,ground,swift-swim,hydration,water-absorb,75,65,55,65,55,69,17.0,0.8,384,4125,4125,0.9999998461538697,199,185,1.0,1
537,seismitoad,water,ground,swift-swim,poison-touch,water-absorb,105,95,75,85,75,74,62.0,1.5,509,7875,7875,1.1176469273356555,254,255,1.0,1
538,throh,fighting,,guts,inner-focus,mold-breaker,120,100,85,30,85,45,55.5,1.3,465,10200,10200,3.3333322222225927,175,290,1.0,0
539,sawk,fighting,,sturdy,inner-focus,mold-breaker,75,125,75,30,75,85,51.0,1.4,465,5625,5625,4.1666652777782405,240,225,1.0,2
540,sewaddle,bug,grass,swarm,chlorophyll,overcoat,45,53,70,40,60,42,2.5,0.3,310,3150,2700,1.3249996687500827,135,175,1.0,0
541,swadloon,bug,grass,leaf-guard,chlorophyll,overcoat,55,63,90,50,80,42,7.3,0.5,380,4950,4400,1.2599997480000502,155,225,1.0,0
542,leavanny,bug,grass,swarm,chlorophyll,overcoat,75,103,80,70,80,92,20.5,1.2,500,6000,6000,1.4714283612245198,265,235,1.0,2
543,venipede,bug,poison,poison-point,swarm,speed-boost,30,45,59,30,39,57,5.3,0.4,260,1770,1170,1.4999995000001667,132,128,1.0,1
544,whirlipede,bug,poison,poison-point,swarm,speed-boost,40,55,99,40,79,47,58.5,1.2,360,3960,3160,1.374999656250086,142,218,1.0,0
545,scolipede,bug,poison,poison-point,swarm,speed-boost,60,100,89,55,69,112,200.5,2.5,485,5340,4140,1.8181814876033657,267,218,1.0,3
546,cottonee,grass,fairy,prankster,infiltrator,chlorophyll,40,27,60,37,50,66,0.6,0.3,280,2400,2000,0.7297295325055317,130,150,1.0,1
547,whimsicott,grass,fairy,prankster,infiltrator,chlorophyll,60,67,85,77,75,116,6.6,0.7,480,5100,4500,0.8701297571260055,260,220,1.0,3
548,petilil,grass,,chlorophyll,own-tempo,leaf-guard,45,35,50,70,50,30,6.6,0.5,280,2250,2250,0.49999992857143877,135,145,1.0,0
549,lilligant,grass,,chlorophyll,own-tempo,leaf-guard,70,60,75,110,75,90,16.3,1.1,480,5250,5250,0.5454544958677731,260,220,1.0,2
550,basculin-red-striped,water,,reckless,adaptability,mold-breaker,70,92,65,80,55,98,18.0,1.0,460,4550,3850,1.149999856250018,270,190,1.0,2
551,sandile,ground,dark,intimidate,moxie,anger-point,50,72,35,35,35,65,15.2,0.7,292,1750,1750,2.057142269387923,172,120,1.0,1
552,krokorok,ground,dark,intimidate,moxie,anger-point,60,82,45,45,45,74,33.4,1.0,351,2700,2700,1.8222218172840405,201,150,1.0,1
553,krookodile,ground,dark,intimidate,moxie,anger-point,95,117,80,65,70,92,96.3,1.5,519,7600,6650,1.7999997230769655,274,245,1.0,2
554,darumaka,fire,,hustle,inner-focus,,70,90,45,15,45,50,37.5,0.6,315,3150,3150,5.999996000002667,155,160,1.0,1
555,darmanitan-standard,fire,,sheer-force,zen-mode,,105,140,55,30,55,95,92.9,1.3,480,5775,5775,4.666665111111629,265,215,1.0,2
556,maractus,grass,,water-absorb,chlorophyll,storm-drain,75,86,67,106,67,60,28.0,1.0,461,5025,5025,0.8113206781772945,252,209,1.0,1
557,dwebble,bug,rock,sturdy,shell-armor,weak-armor,50,65,85,35,35,55,14.5,0.3,325,4250,1750,1.8571423265307636,155,170,1.0,1
558,crustle,bug,rock,sturdy,shell-armor,weak-armor,70,105,125,65,75,45,200.0,1.4,485,8750,5250,1.6153843668639434,215,270,1.0,0
559,scraggy,dark,fighting,shed-skin,moxie,intimidate,50,75,70,35,70,48,11.8,0.6,348,3500,3500,2.1428565306124194,158,190,1.0,0
560,scrafty,dark,fighting,shed-skin,moxie,intimidate,65,90,115,45,115,58,30.0,1.1,488,7475,7475,1.9999995555556542,193,295,1.0,1
561,sigilyph,psychic,flying,wonder-skin,magic-guard,tinted-lens,72,58,80,103,80,97,14.0,1.4,490,5760,5760,0.5631067414459474,258,232,1.0,2
562,yamask,ghost,,mummy,,,38,30,85,55,65,30,1.5,0.5,303,3230,2470,0.5454544462810097,115,188,1.0,0
563,cofagrigus,ghost,,mummy,,,58,50,145,95,105,30,76.5,1.7,483,8410,6090,0.526315734072028,175,308,1.0,0
564,tirtouga,water,rock,solid-rock,sturdy,swift-swim,54,78,103,53,45,22,16.5,0.7,355,5562,2430,1.4716978355287103,153,202,1.0,0
565,carracosta,water,rock,solid-rock,sturdy,swift-swim,74,108,133,83,65,32,81.0,1.2,495,9842,4810,1.3012046625054623,223,272,1.0,0
566,archen,rock,flying,defeatist,,,55,112,45,74,45,70,9.5,0.5,401,2475,2475,1.513513308984688,256,145,1.0,1
567,archeops,rock,flying,defeatist,,,75,140,65,112,65,110,32.0,1.4,567,4875,4875,1.2499998883928671,362,205,1.0,3
568,trubbish,poison,,stench,sticky-hold,aftermath,50,50,62,40,62,65,31.0,0.6,329,3100,3100,1.249999687500078,155,174,1.0,1
569,garbodor,poison,,stench,weak-armor,aftermath,80,95,82,60,82,75,107.3,1.9,474,6560,6560,1.5833330694444883,230,244,1.0,1
570,zorua,dark,,illusion,,,40,65,40,80,40,65,12.5,0.7,330,1600,1600,0.8124998984375127,210,120,1.0,1
571,zoroark,dark,,illusion,,,60,105,60,120,60,105,81.1,1.6,510,3600,3600,0.8749999270833394,330,180,1.0,3
572,minccino,normal,,cute-charm,technician,skill-link,55,50,40,40,40,75,5.8,0.4,300,2200,2200,1.249999687500078,165,135,1.0,1
573,cinccino,normal,,cute-charm,technician,skill-link,75,95,60,65,60,115,7.5,0.5,470,4500,4500,1.4615382366864251,275,195,1.0,3
574,gothita,psychic,,frisk,competitive,shadow-tag,45,30,50,55,65,45,5.8,0.4,290,2250,2925,0.5454544462810097,130,160,1.0,0
575,gothorita,psychic,,frisk,competitive,shadow-tag,60,45,70,75,85,55,18.0,0.7,390,4200,5100,0.5999999200000107,175,215,1.0,1
576,gothitelle,psychic,,frisk,competitive,shadow-tag,70,55,95,95,110,65,44.0,1.5,490,6650,7700,0.5789473074792307,215,275,1.0,1
